year,msa_md,median_lti,lti_p25,lti_p75,n_loans
2012,12060,2.0971548004314995,1.4946236559139785,2.883720930232558,13654
2012,12580,2.4831920903954803,1.7605633802816902,3.3582089552238807,7798
2012,15764,2.409090909090909,1.7391304347826086,3.234234234234234,6909
2012,16974,2.1052631578947367,1.5,2.817073170731707,22325
2012,17140,1.7676767676767677,1.2551020408163265,2.4285714285714284,7391
2012,19124,1.9222222222222223,1.3904761904761904,2.5675675675675675,9902
2012,19740,2.5342465753424657,1.8089171974522293,3.3857142857142857,11211
2012,26420,1.8461538461538463,1.3061224489795917,2.473684210526316,11654
2012,31084,3.082773501801842,2.165775401069519,4.125925925925926,22738
2012,33460,2.142857142857143,1.5333333333333334,2.909090909090909,13020
2012,35644,2.4814814814814814,1.6746987951807228,3.4234234234234235,11648
2012,36084,2.868325198513878,2.1085714285714285,3.8076923076923075,10818
2012,37964,2.1645447219983884,1.515,2.9591836734693877,10376
2012,38060,2.4153846153846152,1.71875,3.2745098039215685,13211
2012,38900,2.5714285714285716,1.8243243243243243,3.447058823529412,7730
2012,40140,2.835616438356164,2.020304568527919,3.8,9298
2012,40900,2.619047619047619,1.88,3.55,7045
2012,41180,1.9292929292929293,1.35,2.6315789473684212,9675
2012,41740,2.9414225941422596,2.141935483870968,3.9215686274509802,10179
2012,41884,3.027681660899654,2.1595092024539877,4.0,7321
2012,41940,3.0,2.197802197802198,3.9125,9286
2012,42044,3.029268989149058,2.1533333333333333,4.0,11388
2012,42644,2.6857142857142855,1.9104477611940298,3.54,10733
2012,47644,1.8797814207650274,1.3526011560693643,2.5520833333333335,9217
2012,47894,2.6353553921568627,1.8771929824561404,3.5,17458
